"munic","date","adm2_es","min_temp_era5","max_temp_era5","all_hosp","hw"
3,2008-05-01,"Tecate",11.579828,26.7149600982666,4,0
3,2008-05-02,"Tecate",14.417658,30.498743057251,4,0
3,2008-05-03,"Tecate",15.363611,27.6609134674072,3,0
3,2008-05-04,"Tecate",13.471704,23.8771305084229,5,0
3,2008-05-05,"Tecate",12.525782,20.0933475494385,4,0
3,2008-05-06,"Tecate",12.525782,19.1473941802979,8,0
3,2008-05-07,"Tecate",12.525782,22.9311771392822,6,0
3,2008-05-08,"Tecate",12.525782,23.8771305084229,6,0
3,2008-05-09,"Tecate",12.525782,21.9852237701416,7,0
3,2008-05-10,"Tecate",13.471704,26.7149600982666,2,0
3,2008-05-11,"Tecate",14.417658,23.8771305084229,1,0
3,2008-05-12,"Tecate",14.417658,21.0393009185791,4,0
3,2008-05-13,"Tecate",12.525782,24.8230838775635,3,0
3,2008-05-14,"Tecate",13.471704,28.6068668365479,3,0
3,2008-05-15,"Tecate",18.201441,31.4446964263916,6,0
3,2008-05-16,"Tecate",19.147394,35.2284774780273,4,1
3,2008-05-17,"Tecate",21.985224,36.174430847168,3,1
3,2008-05-18,"Tecate",23.877131,36.174430847168,5,1
3,2008-05-19,"Tecate",22.931177,34.2825241088867,5,0
3,2008-05-20,"Tecate",20.093348,31.4446964263916,6,0
3,2008-05-21,"Tecate",16.309565,24.8230838775635,6,0
3,2008-05-22,"Tecate",14.417658,19.1473941802979,3,0
3,2008-05-23,"Tecate",11.579828,16.3095645904541,3,0
3,2008-05-24,"Tecate",9.6879215,17.2555179595947,3,0
3,2008-05-25,"Tecate",8.7419987,19.1473941802979,4,0
3,2008-05-26,"Tecate",11.579828,20.0933475494385,2,0
3,2008-05-27,"Tecate",12.525782,21.9852237701416,5,0
3,2008-05-28,"Tecate",12.525782,23.8771305084229,4,0
3,2008-05-29,"Tecate",12.525782,25.769006729126,4,0
3,2008-05-30,"Tecate",12.525782,26.7149600982666,6,0
3,2008-05-31,"Tecate",13.471704,24.8230838775635,8,0
3,2008-06-01,"Tecate",14.417658,26.7149600982666,5,0
3,2008-06-02,"Tecate",14.417658,25.769006729126,2,0
3,2008-06-03,"Tecate",14.417658,25.769006729126,3,0
3,2008-06-04,"Tecate",14.417658,22.9311771392822,2,0
